,close,contract,high,low,open,source,time,timestamp,volume
759,8105.32,okef/btc.usd.n,8107.62,8094.65,8101.42,,2019-06-13T18:45:00+08:00,1560422700,2896
760,8119.76,okef/btc.usd.n,8128.0,8098.96,8104.24,,2019-06-13T19:00:00+08:00,1560423600,3038
761,8112.37,okef/btc.usd.n,8124.3,8107.46,8117.92,,2019-06-13T19:15:00+08:00,1560424500,3226
762,8127.8,okef/btc.usd.n,8128.97,8108.38,8110.52,,2019-06-13T19:30:00+08:00,1560425400,2319
763,8126.06,okef/btc.usd.n,8127.88,8114.93,8127.52,,2019-06-13T19:45:00+08:00,1560426300,2725
764,8122.6,okef/btc.usd.n,8133.15,8116.5,8125.85,,2019-06-13T20:00:00+08:00,1560427200,2718
765,8129.96,okef/btc.usd.n,8133.73,8123.33,8126.09,,2019-06-13T20:15:00+08:00,1560428100,2204
766,8116.77,okef/btc.usd.n,8168.4,8116.77,8130.28,,2019-06-13T20:30:00+08:00,1560429000,7423
767,8118.42,okef/btc.usd.n,8118.42,8029.32,8114.4,,2019-06-13T20:45:00+08:00,1560429900,11778
768,8151.87,okef/btc.usd.n,8174.51,8110.31,8110.31,,2019-06-13T21:00:00+08:00,1560430800,5828
769,8178.33,okef/btc.usd.n,8207.73,8142.13,8153.54,,2019-06-13T21:15:00+08:00,1560431700,5818
770,8175.51,okef/btc.usd.n,8191.17,8139.6,8176.37,,2019-06-13T21:30:00+08:00,1560432600,5053
771,8164.28,okef/btc.usd.n,8172.19,8148.44,8172.19,,2019-06-13T21:45:00+08:00,1560433500,2709
772,8164.5,okef/btc.usd.n,8177.96,8160.55,8164.96,,2019-06-13T22:00:00+08:00,1560434400,2311
773,8164.32,okef/btc.usd.n,8169.16,8146.4,8163.22,,2019-06-13T22:15:00+08:00,1560435300,1763
774,8177.29,okef/btc.usd.n,8180.76,8158.59,8165.67,,2019-06-13T22:30:00+08:00,1560436200,1897
775,8168.08,okef/btc.usd.n,8190.51,8163.33,8176.1,,2019-06-13T22:45:00+08:00,1560437100,4711
776,8204.46,okef/btc.usd.n,8247.84,8166.14,8168.43,,2019-06-13T23:00:00+08:00,1560438000,10319
